CRN,Course,Course Title,Status,Enrollment Capacity,Enrollment,Waitlist Capacity,Waitlist Enrollment,Projected Enrl,Meeting Desc,Days,Time,BldgRoom,Class Room Attributes,Rec Mtg desc,Recitation Days,Recitation Time,Recitation BldgRoom,Rec Room Attributes,Lab Mtg Desc,Lab Days,Lab Time,Lab BldgRoom,Lab Room Attributes,Credit Hours,Bill Hours,Primary Instructor,Primary Instructor LIN,Secondary Instructors,Attributes,Part of Term,Schedule Code,Special Approval,Cross List Code,Link Identifier,Link Connector,Tuition Fees,Campus Code,Instructional Method,Grade Mode,Long_Title,Modalities,Long Text,Short Text
45775,CSE 090-010,Big Questions Seminar,A,18,0,0,0,21,Class On-Campus Only,TR,1500-1615,LL 512,,,,,,,,,,,,3,3,"Sommer, Ariel",809461494,,"CAMP, CC",Full Term,L,,GD,,,,P,,,Big Questions Seminar: How Might Quantum Computing Change the World?,On-Campus Required,"In the past few years, quantum computing has advanced rapidly, with quantum computers beginning to perform tasks that lie beyond the reach of classical supercomputers. Future applications of quantum computing cover a wide range of areas, including molecular simulation, financial modeling, and breaking cryptographic codes. How might quantum computing impact science, business, and international relations in the next few decades? In this seminar, students will study the basics of quantum information and computation, run quantum algorithms on quantum computers, and investigate the applications and potential impacts of quantum computing. No prior knowledge of quantum mechanics is required.",
45153,CSE 098-010,Success in CS,A,35,0,10,0,50,Class On-Campus Only,F,1045-1200, ,HyFlex 2 Classroom,,,,,,,,,,,1,1,"Erle, Mark",807548554,,CAMP,Full Term,L,,,,,,T,,,Sucess in CS,On-Campus Required,"Intended for students likely to major or minor in a computer-related discipline. Provides a solid foundation in computing principles and systems, introduces software engineering tools and strategies, teaches effective learning habits, and positions students to succeed in navigating the challenges of a rigorous academic program.",
44525,CSE 109-110,Systems Software,A,55,0,0,0,55,Class On-Campus Only,MW,1335-1450, ,"Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,4,4,"Pearl, Kallie",817767359,"Li, Mushu (800146422)","CAMP, Q, REC",Full Term,L,,,1Z,Z1,,T,,,Systems Software,On-Campus Required,,
44027,CSE 109-111,Systems Software,A,55,0,0,0,55,Class On-Campus Only,TR,1045-1200, ,"Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,4,4,"Li, Mushu",800146422,"Pearl, Kallie (817767359)","CAMP, Q",Full Term,L,,,1Z,Z1,,T,,,Systems Software,On-Campus Required,,
43294,CSE 140-110,Found Discrete Struct & Algor,A,60,0,0,0,60,Class On-Campus Only,TR,1045-1200, ,"Document Camera, Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Yang, Yu",816822292,"Yari, Masoud (800046708)","CAMP, Q",Full Term,L,,,6S,S6,,T,,,Foundations of Discrete Structures and Algorithms,On-Campus Required,,
44575,CSE 140-111,Found Discrete Struct & Algor,A,60,0,0,0,60,Class On-Campus Only,TR,1500-1615, ,"Document Camera, Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Yari, Masoud",800046708,"Yang, Yu (816822292)","CAMP, Q",Full Term,L,,,6S,S6,,T,,,Foundations of Discrete Structures and Algorithms,On-Campus Required,,
42256,CSE 160-010,Introduction to Data Science,A,65,0,0,0,65,Class FLEX,MW,1045-1135, ,"Instructor Station w/ Computer, Table Tops",,,,,,,,,,,3,3,"Bharati, Aparna",899882633,"Davison, Brian (842269662)","CAMP, FLXC, Q",Full Term,L,,CD,1B,B1,,T,,,Introduction to Data Science,"On-Campus Required, FLEX - Classroom",,
44529,CSE 160-011,Introduction to Data Science,A,5,0,0,0,5,Class FLEX,,-,ONLINE ,,,,,,,,,,,,3,3,"Bharati, Aparna",899882633,"Davison, Brian (842269662)","FLXR, Q, RMTA",Full Term,L,DP,CD,1B,B1,,T,,,Introduction to Data Science,"FLEX - Remote, Remote Asynchronous",,
43483,CSE 160-060,Introduction to Data Science,A,35,0,0,0,35,,,,,,,,,,,Lab On-Campus Only,F,0950-1105, ,"Instr Station-Laptop Ready, Instructor Station w/ Computer, Table Tops",0,0,"Bharati, Aparna",899882633,"Davison, Brian (842269662)","CAMP, LAB, MTOP, Q",Full Term,B,,,B1,1B,,T,,,Introduction to Data Science,On-Campus Required,,
43665,CSE 160-061,Introduction to Data Science,A,35,0,0,0,35,,,,,,,,,,,Lab On-Campus Only,F,1405-1520, ,"Instr Station-Laptop Ready, Instructor Station w/ Computer, Table Tops",0,0,"Bharati, Aparna",899882633,"Davison, Brian (842269662)","CAMP, LAB, MTOP, Q",Full Term,B,,,B1,1B,,T,,,Introduction to Data Science,On-Campus Required,,
45403,CSE 202-110,Comp Organization Architecture,A,80,0,0,0,80,Class FLEX,MW,1335-1450, ,"Instructor Station w/ Computer, Overhead projector, Whiteboard",,,,,,,,,,,3,3,"Tan, Jialiang",800088628,,"CAMP, FLXC, Q",Full Term,L,,CW,6R,R6,,T,,,Computer Organization and Architecture,"On-Campus Required, FLEX - Classroom",,
44577,CSE 202-111,Comp Organization Architecture,A,10,0,0,0,10,Class FLEX,,-,ONLINE ,,,,,,,,,,,,3,3,"Tan, Jialiang",800088628,,"FLXR, Q, RMTA",Full Term,L,,CW,6R,R6,,T,,,Computer Organization and Architecture,"FLEX - Remote, Remote Asynchronous",,
41060,CSE 216-110,Software Engineering,A,120,0,0,0,120,Class FLEX,MW,1500-1550, ,"Instructor Station w/ Computer, Movable Chairs, Movable Tables, Table Tops",,,,,,,,,,,3,3,"Sturdivant, Elroy",847995443,,"FLXC, Q",Full Term,L,,CE,8D,D8,,T,,,Software Engineering,FLEX - Classroom,,
42226,CSE 216-111,Software Engineering,A,5,0,0,0,5,Class FLEX,,-, ,,,,,,,,,,,,3,3,"Sturdivant, Elroy",847995443,,"FLXR, Q",Full Term,L,DP,CE,8D,D8,,T,,,Software Engineering,FLEX - Remote,,
45344,CSE 217-010,Computer Science Projects,A,20,0,5,0,25,Class On-Campus Only,TR,1500-1615, ,"HyFlex 2 Classroom, Table Tops",,,,,,,,,,,3,3,"Erle, Mark",807548554,,"CAMP, W",Full Term,L,,,,,,T,,,Computer Science Projects,On-Campus Required,,
42861,CSE 241-110,Data Base Systems & Apps,A,115,0,0,0,115,Class On-Campus Only,TR,1335-1450, ,"HyFlex 2 Classroom, Instructor Station w/ Computer",,,,,,,,,,,3,3,"Palmieri, Roberto",847916309,,"CAMP, Q",Full Term,L,,,2R,R2,,T,,,Database Systems and Applications,On-Campus Required,,
43545,CSE 242-010,Blockchain Algs. and Systems,A,25,0,5,0,30,Class On-Campus Only,MW,1045-1200, ,"Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Korth, Hank",867091929,,"CAMP, Q",Full Term,L,,,,,,T,,,Blockchain Algorithms and Systems,On-Campus Required,,
40899,CSE 252-010,Computing Ethics,A,35,0,5,0,40,Class On-Campus Only,MW,1045-1200,ST 102,"Instr Station-Laptop Ready, Movable Tables, Overhead projector",,,,,,,,,,,3,3,"Pearl, Kallie",817767359,,"CAMP, SS, SW, W",Full Term,L,,,,,,T,,,Computing Ethics,On-Campus Required,,
43040,CSE 252-011,Computing Ethics,A,35,0,5,0,40,Class On-Campus Only,TR,1045-1200, ,"Instr Station-Laptop Ready, Movable Tables, Overhead projector",,,,,,,,,,,3,3,"Staff, Teaching",11111,,"CAMP, SS, SW, W",Full Term,L,,,,,,T,,,Computing Ethics,On-Campus Required,,
44609,CSE 252-012,Computing Ethics,A,35,0,5,0,40,Class On-Campus Only,TR,1210-1325, ,"Instr Station-Laptop Ready, Movable Tables, Overhead projector",,,,,,,,,,,3,3,"Staff, Teaching",11111,,"CAMP, SS, SW, W",Full Term,L,,,,,,T,,,Computing Ethics,On-Campus Required,,
40942,CSE 262-110,Programming Languages,A,90,0,10,0,100,Class On-Campus Only,MW,1045-1200, ,"Blackboard, Instr Station-Laptop Ready, Overhead projector",,,,,,,,,,,3,3,"Spear, Michael",871241224,,"CAMP, COGS, Q",Full Term,L,,,2Q,Q2,,T,,,Programming Languages,On-Campus Required,,
42956,CSE 264-010,Web Systems Programming,A,75,0,10,0,80,Class On-Campus Only,MW,1500-1615, ,"Instructor Station w/ Computer, Table Tops",,,,,,,,,,,3,3,"Onimus, Matthew",820057280,,"CAMP, Q",Full Term,L,,,,,,T,,,Web Systems Programming,On-Campus Required,,
44621,CSE 265-010,System & Network Admin,A,30,0,10,0,35,Class On-Campus Only,TR,1210-1325, ,"Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Creswell, Christopher",802858835,,"CAMP, Q",Full Term,L,,,7D,D7,,T,,,System and Network Administration,On-Campus Required,,
44623,CSE 265-060,System & Network Admin,A,30,0,10,0,35,,,,,,,,,,,Lab On-Campus Only,F,1210-1325,PA 112,"Instructor Station w/ Computer, Overhead projector",0,0,"Creswell, Christopher",802858835,,"CAMP, Q, REC",Full Term,B,,,D7,7D,,T,,,System and Network Administration,On-Campus Required,,
45345,CSE 271-010,Prog. in Linux & Windows,A,35,0,10,0,45,Class On-Campus Only,TR,0920-1035, ,HyFlex 2 Classroom,,,,,,,,,,,3,3,"Erle, Mark",807548554,,"CAMP, Q",Full Term,L,,,,,,T,,,Programming in Linux and Windows Operating Systems,On-Campus Required,,
42442,CSE 281-010,Capstone Project II,A,90,0,5,0,90,Class On-Campus Only,TR,1500-1615,TBD ,,,,,,,,,,,,3,3,"Witmer, George",891132279,"Duersch, Brett (800140265); Gallion, Kirk (800210001); Jeffery, Alan (800085173); Micklas, Thomas (842156005); Oliverio, Kathy (800140267); Reynolds, Thomas (800140266); Rusak, Michael (844550243); Urban, Stephen (839764446)","Q, W",Full Term,L,,CS,,,,T,,,Capstone Project II,,,
44348,CSE 300-010,Apprentice Teaching,A,5,0,0,0,5,Arranged by studnt w/ instruct,,-, ,,,,,,,,,,,,1 to 4,1 to 4,"Staff, Teaching",11111,,,Full Term,U,DE,,,,,T,,,Apprentice Teaching,,,
43099,CSE 303-010,Operating System Design,A,135,0,10,0,140,Class On-Campus Only,MW,1335-1450, ,HyFlex 2A Lecture Hall,,,,,,,,,,,3,3,"Oudghiri, Houria",810242490,,"CAMP, Q",Full Term,L,,,,,,T,,,Operating System Design,On-Campus Required,,
44627,CSE 318-010,Intro To Theory Of Computation,A,32,0,10,0,42,Class On-Campus Only,TR,1210-1325, ,,,,,,,,,,,,3,3,"Femister, James",810966796,,"CAMP, COGS, Q",Full Term,L,,CF,,,,T,,,Introduction to the Theory of Computation,On-Campus Required,,
45306,CSE 320-010,Biomedical Image Computing,A,25,0,10,0,30,Class On-Campus Only,TR,1405-1520, ,"Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"He, Lifang",830897458,,"CAMP, MTOP, Q",Full Term,L,,CR,,,,T,,,Biomedical Image Computing and Modeling,On-Campus Required,,
43100,CSE 326-010,Machine Learning,A,50,0,10,0,50,Class On-Campus Only,TR,0920-1035, ,"HyFlex 2 Classroom, Instructor Station w/ Computer",,,,,,,,,,,3,3,"Sun, Lichao",870754607,,"CAMP, Q",Full Term,L,,CG,,,,T,,,Fundamentals of Machine Learning,On-Campus Required,,
45329,CSE 337-010,Reinforcement Learning,A,30,0,5,0,45,Class On-Campus Only,F,0950-1230, ,"Document Camera, Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Saldana, David",812133772,,"CAMP, COGS, MTOP, Q",Full Term,L,,CK,,,,T,,,Reinforcement Learning,On-Campus Required,,
42015,CSE 340-110,Design&Analysis Of Algorithms,A,60,0,5,0,65,Class On-Campus Only,TR,1335-1450, ,"Instr Station-Laptop Ready, Large Blackboard Space",,,,,,,,,,,3,3,"Yari, Masoud",800046708,,"CAMP, Q",Full Term,L,,CH,,,,T,,,Design and Analysis of Algorithms,On-Campus Required,,
43887,CSE 340-111,Design&Analysis Of Algorithms,A,60,0,5,0,65,Class On-Campus Only,TR,1045-1200, ,Instructor Station w/ Computer,,,,,,,,,,,3,3,"Sun, Lichao",870754607,,"CAMP, Q",Full Term,L,,CJ,,,,T,,,Design and Analysis of Algorithms,On-Campus Required,,
43611,CSE 342-010,Fund Of Internetworking,A,35,0,10,0,40,Class On-Campus Only,MW,1210-1325, ,Instructor Station w/ Computer,,,,,,,,,,,3,3,"Sollog, Munroe",865315756,,"CAMP, Q",Full Term,L,,,,,,T,,,Fundamentals of Internetworking,On-Campus Required,,
44704,CSE 348-010,Ai Game Programming,A,32,0,10,0,42,Class On-Campus Only,TR,1335-1450, ,"Instructor Station w/ Computer, Table Tops",,,,,,,,,,,3,3,"Urban, Stephen",839764446,,"CAMP, Q",Full Term,L,,,,,,T,,,AI Game Programming,On-Campus Required,,
43864,CSE 349-010,Big Data Analytics,A,30,0,5,0,30,Class FLEX,MW,1405-1520, ,HyFlex 2 Classroom,,,,,,,,,,,3,3,"Lopresti, Daniel",875089731,,"FLXC, MTOP",Full Term,L,DP,CN,,,,T,,,Big Data Analytics,FLEX - Classroom,,
44288,CSE 349-011,Big Data Analytics,A,30,0,5,0,30,Class FLEX,MW,1405-1520,ONLINE ,HyFlex 2 Classroom,,,,,,,,,,,3,3,"Lopresti, Daniel",875089731,,"FLXR, MTOP",Full Term,O,DP,CN,,,,T,,,Big Data Analytics,FLEX - Remote,,
44266,CSE 367-010,Blockchain Projects,A,12,0,0,0,12,Class On-Campus Only,F,1045-1200, ,HyFlex 2 Classroom,,,,,,,,,,,3,3,"Korth, Hank",867091929,,"CAMP, Q",Full Term,L,DP,CP,,,,T,,,Blockchain Projects,On-Campus Required,,
44695,CSE 371-010,Principles of Mobile Computing,A,19,0,5,0,25,Class On-Campus Only,MW,0920-1035, ,,,,,,,,,,,,3,3,"Chuah, Mooi Choo",824703058,,"CAMP, Q",Full Term,L,,CQ,,,,T,,,Principles of Mobile Computing,On-Campus Required,,
45361,CSE 375-010,Prin & Prac In Parallel Comp,A,30,0,5,0,35,Class On-Campus Only,MW,1500-1615, ,"Document Camera, Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Hassan, Ahmed",804113501,,"CAMP, Q",Full Term,L,,CL,,,,T,,,Principles of Practice of Parallel Computing,On-Campus Required,,
45735,CSE 398-012,Scientific Machine Learning,A,30,0,10,0,40,Class On-Campus Only,TR,1405-1520, ,"Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Rahnemoonfar, Maryam",800040488,,"CAMP, MTOP, Q",Full Term,L,,RP,,,,T,,,Scientific Machine Learning,On-Campus Required,"Scientific Machine Learning is a seminar course focused on solving scientific problems using advanced machine learning algorithms. It explores techniques such as physics-informed neural networks (PINNs), neural operators, digital twins, and foundation models like VLMs for scientific discovery.   Prerequisites:  CSE 330/430 Deep Learning, CSE 398/498 Deep and Generative Models or CSE 426 Fundamentals of Machine Learning",
45406,CSE 398-046,Knowledge Representation,A,30,0,10,0,40,Class On-Campus Only,TR,1115-1230, ,,,,,,,,,,,,3,3,"Heflin, Jeff",884349257,,"CAMP, MTOP, Q",Full Term,L,,CX,,,,T,,,Knowledge Representation,On-Campus Required,"Knowledge representation and reasoning (KR&R) is the subfield of artificial intelligence (AI) that concerns how to represent general information about the world, and how to determine the consequences of this information.  One known weakness of deep learning models is lack of explainability; generally, knowledge representation models do not suffer from this problem. In this class we will explore the fundamentals of KR&R by examining many different formalisms and automated reasoning procedures. We will then use this basis to discuss the role of KR&R in modern systems: Why are many technology companies investing in knowledge graphs? When should knowledge representation be preferred to machine learning? Can knowledge representation be combined with machine learning when we have some degree of background knowledge regarding our problem? Can machine learning be used to make automated reasoning more efficient? Students will leave this class with a broader perspective of AI.
Prerequisite: CSE 327",
45442,CSE 398-062,Theory of Social Computing,A,30,0,10,0,30,Class On-Campus Only,TR,0950-1105, ,"Instructor Station w/ Computer, Whiteboard",,,,,,,,,,,3,3,"DiFranzo, Dominic",852126698,,"CAMP, MTOP",Full Term,L,,CY,,,,T,,,Theory of Social Computing,On-Campus Required,"The class is an introduction to the purpose and use of theory in social computing research. It will
also act as a survey of many of the theoretical foundations of social computing possibly
including but not limited to Feminist and Critical theory, Social Capital, Social Identity
Perspective, Social Identity Theory, Uses and Gratifications Theory, Social Learning Theory,
Priming,and others. Prerequisite is CSE 252.",
41692,CSE 406-010,Research Methods,A,19,0,10,0,25,Arranged by studnt w/ instruct,MW,-,BC 216,,,,,,,,,,,,3,3,"Lopresti, Daniel",875089731,"DiEdwardo, Maryann (893679285)","CAMP, MTOP",Full Term,L,,,,,,T,,,Research Methods,On-Campus Required,,
40898,CSE 411-010,Adv Programming Techniques,A,35,0,10,0,45,Class On-Campus Only,MW,1115-1230, ,HyFlex 2 Classroom,,,,,,,,,,,3,3,"Montella, Corey",864504458,,"CAMP, MTOP",Full Term,L,,,,,,T,,,Advanced Programming Techniques,On-Campus Required,,
45297,CSE 412-010,Intro to Python,A,10,0,5,0,10,Class On-Campus Only,MW,1915-2030, ,"Instr Station-Laptop Ready, Overhead projector, Table Tops",,,,,,,,,,,3,3,"Staff, Teaching",11111,,CAMP,Full Term,L,,CB,,,,T,,,Introduction to Programming with Python,On-Campus Required,,
44628,CSE 418-010,Theory of Computation,A,10,0,5,0,10,Class On-Campus Only,TR,1210-1325, ,,,,,,,,,,,,3,3,"Femister, James",810966796,,CAMP,Full Term,L,,CF,,,,T,,,Theory of Computation,On-Campus Required,,
45307,CSE 420-010,Biomedical Image Computing,A,25,0,10,0,30,Class On-Campus Only,TR,1405-1520, ,"Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"He, Lifang",830897458,,"CAMP, MTOP, ND",Full Term,L,,CR,,,,T,,,Biomedical Image Computing and Modeling,On-Campus Required,,
43101,CSE 426-010,Machine Learning,A,50,0,10,0,50,Class On-Campus Only,TR,0920-1035, ,"HyFlex 2 Classroom, Instructor Station w/ Computer",,,,,,,,,,,3,3,"Sun, Lichao",870754607,,CAMP,Full Term,L,,CG,,,,T,,,Fundamentals of Machine Learning,On-Campus Required,,
45358,CSE 437-010,Reinfrcmntlearn&Markovdecision,A,15,0,5,0,20,Class On-Campus Only,F,0950-1230, ,"Document Camera, Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Saldana, David",812133772,,"CAMP, MTOP",Full Term,L,,CK,,,,T,,,Reinforcement Learning and Markov Decision Processes,On-Campus Required,,
43886,CSE 442-010,Adv. Blockchain Systems&Theory,A,1,0,0,0,1,Class On-Campus Only,MW,1045-1200, ,,,,,,,,,,,,3,3,"Korth, Hank",867091929,,CAMP,Full Term,I,IN,,,,,T,,,Advanced Blockchain Systems and Theory,On-Campus Required,,
43865,CSE 449-010,Big Data Analytics,A,30,0,5,0,30,Class FLEX,MW,1405-1520, ,HyFlex 2 Classroom,,,,,,,,,,,3,3,"Lopresti, Daniel",875089731,,"FLXC, MTOP",Full Term,L,DP,CN,,,,T,,,Big Data Analytics,FLEX - Classroom,,
44289,CSE 449-011,Big Data Analytics,A,30,0,5,0,30,Class FLEX,MW,1405-1520,ONLINE ,HyFlex 2 Classroom,,,,,,,,,,,3,3,"Lopresti, Daniel",875089731,,"FLXR, MTOP",Full Term,O,DP,CN,,,,T,,,Big Data Analytics,FLEX - Remote,,
44267,CSE 467-010,Blockchain Projects,A,12,0,0,0,12,Class On-Campus Only,F,1045-1200, ,HyFlex 2 Classroom,,,,,,,,,,,3,3,"Korth, Hank",867091929,,CAMP,Full Term,L,DP,CP,,,,T,,,Blockchain Projects,On-Campus Required,,
44696,CSE 471-010,Principles of Mobile Computing,A,19,0,5,0,25,Class On-Campus Only,MW,0920-1035, ,,,,,,,,,,,,3,3,"Chuah, Mooi Choo",824703058,,CAMP,Full Term,L,,CQ,,,,T,,,Principles of Mobile Computing,On-Campus Required,,
45362,CSE 475-010,Prin/Prac Parallel Computing,A,10,0,5,0,15,Class On-Campus Only,MW,1500-1615, ,"Document Camera, Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Hassan, Ahmed",804113501,,CAMP,Full Term,L,,CL,,,,T,,,Principles and Practice of Parallel Computing,On-Campus Required,,
45736,CSE 498-012,Scientific Machine Learning,A,30,0,10,0,40,Class On-Campus Only,TR,1405-1520, ,"Instructor Station w/ Computer, Overhead projector",,,,,,,,,,,3,3,"Rahnemoonfar, Maryam",800040488,,"CAMP, MTOP",Full Term,L,,DK,,,,T,,,Scientific Machine Learning,On-Campus Required,"Scientific Machine Learning is a seminar course focused on solving scientific problems using advanced machine learning algorithms. It explores techniques such as physics-informed neural networks (PINNs), neural operators, digital twins, and foundation models like VLMs for scientific discovery.   Prereqs:  CSE 330/430 Deep Learning, CSE 398/498 Deep and Generative Models or CSE 426 Fundamentals of Machine Learning",
45407,CSE 498-046,Knowledge Representation,A,30,0,10,0,40,Class On-Campus Only,TR,1115-1230, ,,,,,,,,,,,,3,3,"Heflin, Jeff",884349257,,"CAMP, MTOP",Full Term,L,,CX,,,,T,,,Knowledge Representation,On-Campus Required,"Knowledge representation and reasoning (KR&R) is the subfield of artificial intelligence (AI) that concerns how to represent general information about the world, and how to determine the consequences of this information.  One known weakness of deep learning models is lack of explainability; generally, knowledge representation models do not suffer from this problem. In this class we will explore the fundamentals of KR&R by examining many different formalisms and automated reasoning procedures. We will then use this basis to discuss the role of KR&R in modern systems: Why are many technology companies investing in knowledge graphs? When should knowledge representation be preferred to machine learning? Can knowledge representation be combined with machine learning when we have some degree of background knowledge regarding our problem? Can machine learning be used to make automated reasoning more efficient? Students will leave this class with a broader perspective of AI and a set of new tools that they can apply to their research. Students will not be given credit for both CSE 398-046 and CSE 498-046.",
44312,CSE 498-062,Theory of Social Computing,A,30,0,5,0,30,Class On-Campus Only,TR,0950-1105, ,"Instructor Station w/ Computer, Whiteboard",,,,,,,,,,,3,3,"DiFranzo, Dominic",852126698,,"CAMP, MTOP",Full Term,L,,CY,,,,T,,,Theory of Social Computing,On-Campus Required," The class is an introduction to the purpose and use of theory in social computing research. It will
also act as a survey of many of the theoretical foundations of social computing possibly
including but not limited to Feminist and Critical theory, Social Capital, Social Identity
Perspective, Social Identity Theory, Uses and Gratifications Theory, Social Learning Theory,
Priming,and others.",
